frame,interval_ms,begin_ms,acquire_ms,present_ms,inside_ms
413,6.9131,7.1205,0.0327,0.2031,7.5684
414,7.6323,6.0277,0.0518,0.1646,6.4082
415,6.4864,6.4942,0.0270,0.1229,6.8725
416,6.9213,6.8648,0.0443,0.1430,7.2947
417,7.3673,6.3580,0.0312,0.0994,6.6970
418,6.7405,6.5666,0.0409,0.0918,6.9042
419,6.9665,5.8127,0.0275,0.2264,6.2404
420,6.3356,6.5840,0.0346,0.1875,6.9456
421,7.1115,6.3421,0.0296,0.1565,6.6709
422,6.7207,6.8790,0.0264,0.1467,7.1805
423,7.2242,6.6691,0.0291,0.1688,7.0004
424,7.0429,6.2881,0.0239,0.2308,6.6686
425,6.7182,6.6345,0.0317,0.1903,6.9799
426,7.0414,6.5511,0.0253,0.2000,6.8989
427,6.9471,8.1739,0.0482,0.1459,8.5281
428,8.7984,4.5294,0.0347,0.2106,4.8916
429,4.9441,6.8946,0.0554,0.0943,7.2016
430,7.2529,6.4764,0.0394,0.2076,6.8560
431,6.9524,6.0892,0.0256,0.1996,6.4261
432,6.5071,6.6315,0.0228,0.2010,6.9605
433,6.9989,6.4592,0.0570,0.1239,6.7980
434,6.8406,6.6440,0.0337,0.1671,6.9915
435,7.0465,6.7786,0.0254,0.1825,7.0949
436,7.1420,6.5395,0.0234,0.2459,6.9186
437,6.9607,6.5840,0.0659,0.1289,6.8841
438,6.9293,6.5300,0.0247,0.2005,6.8638
439,6.9220,6.6424,0.0245,0.1592,6.9242
440,6.9627,6.6830,0.0243,0.1475,6.9456
441,6.9837,6.6247,0.0212,0.1497,6.8847
442,6.9224,6.6817,0.0225,0.2003,6.9931
443,7.0308,6.8481,0.0341,0.1929,7.1834
444,7.2512,6.0205,0.0240,0.1737,6.3235
445,6.3850,6.5123,0.0370,0.1803,6.8674
446,6.9549,7.4411,0.0336,0.1736,7.7690
447,7.8214,6.3288,0.0236,0.2034,6.6704
448,6.7120,6.4946,0.0292,0.1879,6.8084
449,6.8499,6.7469,0.0285,0.2539,7.1176
450,7.1640,6.5236,0.0340,0.1938,6.8508
451,6.8925,6.3605,0.0210,0.2276,6.6996
452,6.7399,5.9751,0.0318,0.2199,6.3353
453,6.4600,6.7497,0.0346,0.1841,7.1304
454,7.1928,6.2526,0.0276,0.2037,6.5927
455,6.6384,6.7215,0.0230,0.2229,7.0667
456,7.1041,6.2955,0.0265,0.1686,6.6158
457,6.6629,6.8523,0.0239,0.2145,7.1891
458,7.2281,6.5482,0.0265,0.1612,6.8519
459,6.9089,7.0819,0.0387,0.2755,7.5219
460,7.6147,6.0454,0.0290,0.1788,6.3723
461,6.4507,6.1246,0.0257,0.2443,6.4922
462,6.5308,6.6983,0.0227,0.2096,7.0355
463,7.0762,6.3998,0.0266,0.1928,6.7291
464,6.8282,6.5044,0.0242,0.2230,6.8474
465,6.8854,6.6356,0.0232,0.1973,6.9552
466,6.9985,6.8492,0.0280,0.1955,7.2015
467,7.2530,6.5368,0.0320,0.2337,6.9059
468,6.9619,19.4292,0.0420,0.3027,19.9374
469,20.0154,7.4582,0.0290,0.2497,7.8585
470,7.8992,6.4721,0.0725,0.1156,6.8721
471,6.9997,6.4850,0.0642,0.1376,6.8029
472,6.8426,6.1794,0.0459,0.2249,6.6248
473,6.7281,6.5389,0.0238,0.1972,6.8823
474,6.9257,6.5882,0.0216,0.2234,6.9480
475,6.9902,6.5880,0.0517,0.1656,6.9355
476,7.0083,6.3011,0.0298,0.2213,6.6703
477,6.7153,6.6317,0.0289,0.1613,6.9451
478,6.9904,6.6465,0.0214,0.2516,7.0332
479,7.0808,6.7783,0.0228,0.1745,7.0771
480,7.1153,6.2582,0.0346,0.2722,6.6950
481,6.8143,6.7741,0.0257,0.1650,7.0688
482,7.1193,6.4166,0.0251,0.1495,6.7075
483,6.7502,6.5228,0.0309,0.1883,6.8542
484,6.9222,6.6468,0.0264,0.1758,6.9597
485,7.0017,6.4677,0.0237,0.1855,6.7956
486,6.8330,7.4917,0.0334,0.1951,7.8405
487,7.8902,5.5067,0.0444,0.1732,5.8698
488,5.9428,6.8996,0.0322,0.0936,7.1703
489,7.2263,6.5224,0.0354,0.0818,6.8170
490,6.8625,7.1305,0.0413,0.2627,7.5747
491,7.7049,5.4040,0.0293,0.2053,5.7642
492,5.8153,6.7291,0.0259,0.1936,7.0854
493,7.1295,6.6575,0.0429,0.1460,7.0057
494,7.0461,6.3407,0.0389,0.2563,6.7405
495,6.7854,6.4567,0.0247,0.1783,6.7684
496,6.8126,6.9913,0.0267,0.1127,7.2661
497,7.3128,6.9169,0.0227,0.2159,7.2612
498,7.3013,6.1787,0.0204,0.1453,6.4440
499,6.4916,7.0139,0.0259,0.0812,7.2562
500,7.2940,6.3726,0.1215,0.0779,6.6879
501,6.7335,6.6642,0.0387,0.2350,7.0829
502,7.1635,6.0715,0.0558,0.1842,6.4760
503,6.5194,7.0701,0.0276,0.0864,7.2974
504,7.3379,6.3182,0.0601,0.0813,6.6480
505,6.6974,6.6356,0.0284,0.0842,6.8609
506,6.9006,6.7011,0.0274,0.1695,7.0451
507,7.0881,6.7290,0.0229,0.1995,7.0818
508,7.1806,6.0893,0.0260,0.0769,6.3243
509,6.3614,16.4538,0.0451,0.2362,16.8785
510,16.9603,4.0159,0.0495,0.0912,4.3268
