timestamp, pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], utilization.gpu [%], temperature.gpu, power.draw [W], clocks_event_reasons.active
2026/09/24 08:47:46.134, P0, 1740 MHz, 6101 MHz, 0 %, 73, 18.65 W, 0x0000000000000001
2026/09/24 08:47:46.388, P0, 1740 MHz, 6101 MHz, 0 %, 73, 18.65 W, 0x0000000000000001
2026/09/24 08:47:46.647, P0, 1740 MHz, 6101 MHz, 0 %, 73, 18.58 W, 0x0000000000000001
2026/09/24 08:47:46.901, P0, 1740 MHz, 6101 MHz, 0 %, 73, 18.58 W, 0x0000000000000001
2026/09/24 08:47:47.155, P0, 1740 MHz, 6101 MHz, 0 %, 73, 18.53 W, 0x0000000000000001
2026/09/24 08:47:47.407, P0, 1740 MHz, 6101 MHz, 0 %, 73, 18.53 W, 0x0000000000000001
2026/09/24 08:47:47.662, P0, 1740 MHz, 6101 MHz, 0 %, 73, 18.43 W, 0x0000000000000001
2026/09/24 08:47:47.914, P0, 1740 MHz, 6101 MHz, 0 %, 73, 18.43 W, 0x0000000000000001
2026/09/24 08:47:48.169, P0, 1740 MHz, 6101 MHz, 0 %, 73, 18.45 W, 0x0000000000000001
2026/09/24 08:47:48.420, P0, 1740 MHz, 6101 MHz, 0 %, 73, 18.45 W, 0x0000000000000001
2026/09/24 08:47:48.673, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.41 W, 0x0000000000000001
2026/09/24 08:47:48.931, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.41 W, 0x0000000000000001
2026/09/24 08:47:49.192, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.43 W, 0x0000000000000001
2026/09/24 08:47:49.458, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.43 W, 0x0000000000000001
2026/09/24 08:47:49.713, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.42 W, 0x0000000000000001
2026/09/24 08:47:49.979, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.42 W, 0x0000000000000001
